ITEM_ID,PRICE,CATEGORY_L1,VEGETARIAN,PESKETARIAN,GLUTEN_FREE,DAIRY_FREE,PRODUCT_DESCRIPTION,RESTAURANT_ID
Tuna & Avocado Bowl,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
California Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Dyanmite Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Krab Salad Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Nippon Favorite Roll,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Philadelphia Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Salmon Avocado Roll,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Spicy California Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Spicy Salmon Roll,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Spicy Tuna Roll,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Tuna Avocado Roll,5,no,no,yes,no,yes,"asian, japanese-american",Global Cafe
Veggie Roll,5,yes,yes,yes,no,yes,"asian, japanese-american",Global Cafe
Crunchy Shrimp Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Crunchy Tofu Roll,5,yes,yes,yes,no,yes,"asian, japanese-american",Global Cafe
Inari Tofu Roll,5,yes,yes,yes,no,yes,"asian, japanese-american",Global Cafe
Krispy Krab Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Outer Banks Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Rainbow Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Rising Sun Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Sriracha Party ROll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Sunset Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Tempura Shrimp Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
TNT Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
Wasabi Crunch Roll,5,no,no,yes,no,no,"asian, japanese-american",Global Cafe
